id;created;category_id;pattern_id;instanz_nr;atricle_nr_red;pattern_ref;order_nr;color_garn_vendor_ref;length;foto_mi;foto_ma;foto_red;owner;storage_web;storage;price_red;selled_dt;present_dt;remarks;remarks_article
257;2014-02-14;1;37;1;37.8;;;c244,c212,c245,c262;12.5;;151121_3_ma0/3478;1;1;1;1;7.00;;;;
258;2014-02-14;1;37;1;37.9;;;c192,c115,c281,c208;13.0;;151015_4_ma0/3233;1;1;1;1;9.00;;;;
259;2014-06-21;1;37;1;37.10;;;c244,c253,c106;12.5;;151015_3_ma0/3170;1;1;1;1;7.00;;;;
260;2014-06-21;1;37;1;37.11;;;;13.0;;;1;1;;;7.00;2015-04-01;;;
261;2014-06-21;1;37;1;37.12;;;c106,c110;12.5;;151015_4_ma0/3194;1;1;1;1;7.00;;;;
262;2014-06-21;1;37;1;37.13;;;;13.0;;;1;1;;;7.00;2014-12-06;;;
263;2014-10-05;1;37;1;37.14;;;;13.5;;;1;1;;;9.00;2014-12-06;;;
264;2014-10-17;1;37;1;37.15;;;c110,c106,q99;13.5;;151018_1_ma0/3308;1;1;1;1;9.00;;;;
265;2014-01-02;1;38;1;38.1;;;;15.0;;;1;1;;;12.00;2014-10-18;;;
266;2014-01-02;1;39;1;39.1;;;;16.0;;;1;1;;1;19.00;;;;
267;2014-01-02;1;40;1;40.1;;;;15.0;;;1;1;;;16.00;2014-11-01;;;
268;2014-01-02;1;41;1;41.1;;;;16.0;;;1;1;;1;13.00;;;;
269;2014-01-02;1;42;1;42.1;;;;17.5;;;1;1;;1;10.00;;;;
270;2014-01-02;1;43;1;43.1;;;;15.0;;;1;1;;1;13.50;;;;
271;2014-01-02;1;44;1;44.1;63475;;;17.0;;;1;1;;1;25.50;;;;
272;2014-01-02;1;44;1;44.2;63475;;;16.0;;;1;1;;1;24.00;;;;
273;2014-02-14;1;44;1;44.3;63475;;;17.0;;;1;1;;1;25.50;;;;
274;2014-02-14;1;44;1;44.4;63475;;;13.0;;;1;1;;;19.00;2015-07-04;;;
275;2014-05-18;1;44;1;44.5;63475;;c106,c110,c226,c113;15.0;;151121_3_ma0/3485;1;1;1;1;22.50;;;;
276;2014-01-02;1;45;1;45.1;64374;;;15.0;;;1;1;;1;22.50;;;;
277;2014-02-14;1;45;1;45.2;64374;;;16.0;;;1;1;;1;28.00;;;;
278;2014-06-07;1;45;1;45.3;64374;;;14.0;;;1;2;;;20.00;2015-07-04;;;
279;2014-01-02;1;46;1;46.1;;;;16.0;;;1;1;;1;24.00;;;;
280;2014-01-02;1;47;1;47.1;;;;14.5;;;1;1;;1;14.00;;;;
281;2014-01-02;1;48;1;48.1;;;;15.0;;;1;1;;1;18.50;;;;
282;2014-01-02;1;49;1;49.1;;;;13.0;;;1;1;;1;19.50;;;;
283;2014-01-02;1;49;1;49.2;;;;14.5;;;1;1;;1;22.50;;;;
284;2014-01-02;1;50;1;50.1;;;;14.0;;;1;1;;1;15.00;;;;
285;2014-01-02;1;50;1;50.2;;;;15.0;;;1;1;;1;15.00;;;;
286;2014-01-02;1;50;1;50.3;;;;14.0;;;1;1;;1;15.00;;;;
287;2014-01-02;1;50;1;50.4;;;;14.5;;;1;1;;;14.00;2014-06-01;;;
288;2014-04-18;1;50;1;50.5;;;c110,c106,c113,c226;13.0;;151121_3_ma0/3487;1;1;1;1;13.50;;;;
289;2014-04-18;1;50;1;50.6;;;c113,c226,c124,c247;12.5;;151121_2_ma0/3413;1;1;1;1;13.00;;;;
290;2014-06-07;1;50;1;50.7;;;c110,c124,c173,c106;12.5;;151018_1_ma0/3317;1;1;1;1;13.00;;;;
291;2014-06-25;1;50;1;50.8;;;;13.0;;;1;1;;;13.00;2014-12-06;;;
292;2014-06-25;1;50;1;50.9;;;c110,c113,c385,c106;13.0;;151121_2_ma0/3407;1;1;1;1;13.50;;;;
293;2014-09-21;1;50;1;50.10;;;;14.0;;;1;1;;;14.00;2014-11-15;;;
294;2014-09-21;1;50;1;50.11;;;;13.5;;;1;1;;;13.00;2014-09-01;;;
294;2014-11-30;1;50;2;50.11;;;c110,c106,c387,c172;12.5;;151018_1_ma0/3299;1;1;1;1;13.50;;;;
296;2014-10-05;1;50;1;50.12;;;;13.0;;;;1;;;13.00;2014-09-01;;;
297;2014-11-30;1;50;1;50.13;;;c110,c162,c257,c106;13.0;;151018_1_ma0/3306;1;1;1;1;13.50;;;;
298;2014-11-30;1;50;1;50.14;;;c162,c254,c106,c257;13.0;;151018_1_ma0/3311;1;1;1;1;13.50;;;;
299;2014-11-30;1;50;1;50.15;;;c110,c106,c222,c114;13.0;;151015_2_ma0/3121;1;1;1;1;13.50;;;;
300;2014-11-30;1;50;1;50.16;;;c244,c212,c245,c205;12.5;;151121_2_ma0/3425;1;1;1;1;13.00;;;;
301;2015-01-01;1;50;1;50.17;;;c113,c226,c389,c385;12.0;;151015_3_ma0/3166;1;1;1;1;12.00;;;;
302;2015-04-18;1;50;1;50.18;;;c192,c110,c208,c280;14.5;;151015_5_ma0/3236;1;1;1;1;14.50;;;;
303;2015-04-18;1;50;1;50.19;;;;13.0;;151121_2_ma0/3430;1;1;1;1;13.50;;;;C206 nicht gefunden, vorher c206,c212,c384,c245
304;2015-04-18;1;50;1;50.20;;;;13.5;;;1;1;1;1;13.00;;;;
305;2015-07-04;1;50;1;50.21;;o16;;21.0;;;1;1;;;22.00;2015-07-04;;;
306;2014-01-02;1;51;1;51.1;;;;15.0;;;1;1;;1;18.50;;;;
307;2014-01-02;1;52;1;52.1;;;;12.0;;;1;1;;1;16.00;;;;
308;2014-01-02;1;53;1;53.1;;;;15.0;;;1;1;;1;16.50;;;;
309;2014-01-02;1;54;1;54.1;;;;13.5;;;1;1;;;13.00;2014-10-18;;;
310;2014-01-02;1;55;1;55.1;;;;15.0;;;1;1;;1;20.50;;;;
311;2014-01-02;1;56;1;56.1;53499;;;13.5;;;1;1;;1;19.00;;;;
312;2014-12-20;1;56;1;56.2;53499;o10;;13.0;;;1;1;;;17.00;2014-12-20;;;
313;2015-01-01;2;56;1;56.3;53499;;;7.0;;;1;2;;;10.00;2015-07-01;;;
314;2014-01-02;1;57;1;57.1;;;;15.0;;;1;1;;1;20.50;;;;
315;2014-01-02;1;58;1;58.1;;;;15.5;;;1;1;;1;20.00;;;;
316;2014-01-02;1;59;1;59.1;;;;15.0;;;1;1;;1;22.50;;;;
317;2014-01-02;1;60;1;60.1;;;;14.0;;;1;1;;1;21.00;;;;
318;2014-01-02;1;61;1;61.1;;;;15.0;;;1;1;;1;18.50;;;Spezialpreis: einfaches Muster;
319;2014-01-02;1;62;1;62.1;;;;15.0;;;1;1;;1;20.50;;;;
320;2014-01-02;1;63;1;63.1;46;;;14.5;;;1;1;;1;19.50;;;;
321;2014-11-15;1;63;1;63.2;46;;;13.0;;151121_2_ma0/3437;1;2;1;1;17.00;;;;c355 nicht gefunden, vorher c253,c355,c241,c389
322;2015-08-14;1;63;1;63.3;46;;c106,c100,c280,c208;14.5;;151015_4_ma0/3212;1;2;1;1;20.50;;;;
323;2015-08-16;1;63;1;63.4;46;;c192,c106,c282,c226;13.5;;151018_2_ma0/3338;;1;1;1;17.00;;;;
324;2014-01-02;1;64;1;64.1;51866;;;14.5;;;1;1;;;22.00;;2014-12-01;Geschenk;
325;2014-01-02;1;65;1;65.1;;;;14.0;;;1;1;;1;15.00;;;;
326;2014-01-02;1;66;1;66.1;;;;15.0;;;1;1;;1;20.50;;;;
327;2014-01-02;1;67;1;67.1;;;;15.5;;;1;1;;1;18.00;;;;
328;2014-01-02;1;68;1;68.1;;;;14.5;;;1;1;;;15.00;2015-04-18;;;
329;2014-01-02;1;69;1;69.1;;;;14.5;;;1;1;;1;20.50;;;;
330;2014-01-02;1;70;1;70.1;;;;15.0;;;1;1;;1;19.00;;;;
331;2014-01-02;1;70;1;70.2;;;;15.0;;;1;1;;1;19.00;;;;
332;2014-01-02;1;71;1;71.1;;;;15.5;;;1;1;;;17.00;2014-12-06;;;
333;2014-01-02;1;72;1;72.1;;;;16.0;;;1;1;;1;20.00;;;;
334;2014-01-02;1;73;1;73.1;;;;14.5;;;1;1;;1;18.50;;;;
335;2014-01-02;1;74;1;74.1;;;;14.0;;;1;1;;;18.00;2014-12-20;;;
336;2014-01-02;1;75;1;75.1;;;;15.0;;;1;1;;1;15.00;;;;
337;2014-01-02;1;76;1;76.1;;;;13.0;;;1;1;;1;21.50;;;;
338;2014-01-02;1;77;1;77.1;;;;14.0;;;1;1;;1;15.00;;;;
339;2014-01-02;1;78;1;78.1;;;;14.0;;;1;1;;1;19.00;;;;
340;2014-01-02;1;79;1;79.1;;;;14.0;;;1;1;;1;17.00;;;;
341;2014-01-02;1;80;1;80.1;;;;15.0;;;1;1;;1;15.00;;;;
342;2014-01-02;1;81;1;81.1;;;;16.0;;;1;1;;1;30.00;;;;
343;2014-01-02;1;81;1;81.2;;;;15.0;;;1;1;;1;25.00;;;;
344;2014-01-02;1;82;1;82.1;;;;15.0;;;1;1;;1;33.50;;;;
345;2014-01-02;1;83;1;83.1;;;;15.0;;;1;1;;1;35.50;;;;
346;2014-01-02;1;84;1;84.1;;;;16.5;;;1;1;;;29.00;2015-07-04;;;
347;2014-01-02;1;84;1;84.2;;;;15.0;;;1;1;;1;33.50;;;;
